kvalue;km_Puea;km_BphA1;km_BphB;km_BphC;km_BphD;kcat_Puea;kcat_BphA1;kcat_BphB;kcat_BphC;kcat_BphD
0.00100000000000000;1.51709455849748;1.00000020143975;1.00000019658293;1.00000019709580;1.00000019624531;0.00133107182965265;0.00397829335626230;0.00399292693680199;0.00399637281660844;0.00397926799295540
0.00112332403297803;1.00000019994920;1.00000019334123;1.00000019661040;1.00000019710971;1.00000019624793;0.00149516441941578;0.00446892143982842;0.00448534992879661;0.00448917087811209;0.00447000204995263
0.00126185688306602;1.00000020172107;1.00000019792098;1.00000019652247;1.00000019713247;1.00000019626185;0.00167945805924284;0.00502005039069315;0.00503850028373604;0.00504279286618723;0.00502125398428554
0.00141747416292680;1.00000019994331;1.00000019807958;1.00000018939349;1.00000019715366;1.00000019625941;0.00188642450174798;0.00563935919720539;0.00565986708531837;0.00566468955208196;0.00564048670691987
0.00159228279334109;1.00000019998405;1.00000019806113;1.00000019664406;1.00000019569066;1.00000019625299;0.00211889960787380;0.00633474963652861;0.00635784717023989;0.00636328082137709;0.00633608872835922
0.00178864952905744;1.00000020055230;1.00000019712775;1.00000019665633;1.00000019565743;1.00000019625683;0.00237999958665454;0.00711590380646297;0.00714187886575061;0.00714802490203415;0.00711749323021929
0.00200923300256505;1.00000020000032;1.00000019769401;1.00000019733233;1.00000019565499;1.00000019627852;0.00267326063890596;0.00799341668626884;0.00802259194371772;0.00802955950637365;0.00799524300267593
0.00225701971963392;1.00000020089411;1.00000019736248;1.00000019723659;1.00000019621436;1.00000019628206;0.00300263022783544;0.00897905295806900;0.00901196637027499;0.00901980932095828;0.00898123672082233
0.00253536449397011;1.00000019971159;1.00000019682325;1.00000019813597;1.00000019621057;1.00000019628752;0.00337251770883845;0.0100863265278578;0.0101233543793670;0.0101321847566965;0.0100888912778608
0.00284803586843580;1.00000019348424;1.00000019748774;1.00000020822762;1.00000019620030;1.00000019627655;0.00378780390411409;0.0113301532928185;0.0113718027269954;0.0113819419150669;0.0113330591714451
0.00319926713779738;1.00000019924948;1.00000019628100;1.00000019672935;1.00000019620187;1.00000019629125;0.00425425332760623;0.0127274286043156;0.0127741834431907;0.0127855880025342;0.0127306539452690
0.00359381366380463;1.00000019994727;1.00000019736364;1.00000019677929;1.00000019619810;1.00000019630708;0.00477804831296447;0.0142966736484914;0.0143494720907016;0.0143623489941503;0.0143005874672634
0.00403701725859655;1.00000020052792;1.00000019733061;1.00000019700116;1.00000019620581;1.00000019667755;0.00536621495895552;0.0160599397491448;0.0161188032641741;0.0161337772505514;0.0160641073591621
0.00453487850812858;1.00000018925605;1.00000019747645;1.00000019771817;1.00000019621458;1.00000019670526;0.00602667767612874;0.0180401921328825;0.0181060919180911;0.0181234444752120;0.0180450921344193
0.00509413801481638;1.00000019994981;1.00000019725181;1.00000019745695;1.00000019620127;1.00000019669756;0.00676833974537232;0.0202648270769397;0.0203393804705596;0.0203584814805755;0.0202703565730669
0.00572236765935022;1.00000019995436;1.00000019751803;1.00000019843833;1.00000019619526;1.00000019752387;0.00760070791129898;0.0227637983746386;0.0228471947542255;0.0228691471288045;0.0227700220479785
0.00642807311728432;1.00000019995159;1.00000019839313;1.00000019748694;1.00000019621322;1.00000019752120;0.00853550937054618;0.0255710919215660;0.0256647651075480;0.0256894317200694;0.0255779333505555
0.00722080901838546;1.00000019997596;1.00000019681420;1.00000019512242;1.00000019621696;1.00000019754183;0.00958492282934393;0.0287250626685809;0.0288301966803343;0.0288575168359455;0.0287320797600963
0.00811130830789687;1.00000019994816;1.00000019950723;1.00000019684283;1.00000019622462;1.00000019757511;0.0107627151562650;0.0322668621070671;0.0323851122198753;0.0324162925878817;0.0322757897925851
0.00911162756115489;1.00000020055717;1.00000019627471;1.00000019733022;1.00000019620242;1.00000019762281;0.0120846724306901;0.0362453610421793;0.0363788977400297;0.0364139377921786;0.0362557551717777
0.0102353102189903;1.00000019980336;1.00000019814279;1.00000019837156;1.00000019684928;1.00000019646441;0.0135682356534990;0.0407159570808663;0.0408656904972942;0.0409045718176170;0.0407244636584707
0.0114975699539774;1.00000019900031;1.00000019901967;1.00000019129778;1.00000019699127;1.00000019797074;0.0152329592219197;0.0457363214994356;0.0459052691917721;0.0459490230090454;0.0457462065021385
0.0129154966501488;1.00000019249544;1.00000019695657;1.00000019584066;1.00000021116146;1.00000019684757;0.0170986932109084;0.0513760613716256;0.0515663340412964;0.0516154234026109;0.0513866493990496
0.0145082877849594;1.00000020001858;1.00000019092431;1.00000019265153;1.00000019673013;1.00000019706555;0.0191940006982669;0.0577111985705383;0.0579255016323743;0.0579806788673491;0.0577228921062299
0.0162975083462064;1.00000019999794;1.00000019765734;1.00000019376576;1.00000019661530;1.00000019716399;0.0215439447724570;0.0648272982629784;0.0650680901713877;0.0651308732147136;0.0648402730684958
0.0183073828029537;1.00000019964703;1.00000019794451;1.00000019586069;1.00000019678778;1.00000019568016;0.0241814051302848;0.0728198270742756;0.0730921119541967;0.0731628033903696;0.0728350953172649
0.0205651230834865;1.00000020002174;1.00000019524260;1.00000019251579;1.00000019934445;1.00000019567057;0.0271335683704934;0.0817998575097491;0.0821056602943345;0.0821851909542910;0.0818155107174555
0.0231012970008316;1.00000019984463;1.00000019793272;1.00000019696164;1.00000019734452;1.00000019564975;0.0304460908240998;0.0918843930381893;0.0922307164533240;0.0923201606501957;0.0919029655461089
0.0259502421139974;1.00000020009716;1.00000019700971;1.00000018446037;1.00000019814958;1.00000019621705;0.0341561191459915;0.103213575089413;0.103604270789035;0.103704894007347;0.103233729327768
